Coste: 8988 Profundidad de Solucion:335 Profundidad Total: 335Segundos: 0
UMT_X[399675] UMT_Y[4355975] HEIGHT[1040.88]
UMT_X[399675] UMT_Y[4356000] HEIGHT[1038.09]
UMT_X[399675] UMT_Y[4356025] HEIGHT[1033.97]
UMT_X[399675] UMT_Y[4356050] HEIGHT[1029.12]
UMT_X[399675] UMT_Y[4356075] HEIGHT[1023.92]
UMT_X[399675] UMT_Y[4356100] HEIGHT[1018.47]
UMT_X[399675] UMT_Y[4356125] HEIGHT[1013.35]
UMT_X[399675] UMT_Y[4356150] HEIGHT[1010.94]
UMT_X[399675] UMT_Y[4356175] HEIGHT[1014.06]
UMT_X[399675] UMT_Y[4356200] HEIGHT[1018.97]
UMT_X[399675] UMT_Y[4356225] HEIGHT[1023.77]
UMT_X[399675] UMT_Y[4356250] HEIGHT[1030.11]
UMT_X[399675] UMT_Y[4356275] HEIGHT[1034.73]
UMT_X[399675] UMT_Y[4356300] HEIGHT[1041.66]
UMT_X[399675] UMT_Y[4356325] HEIGHT[1043.96]
UMT_X[399675] UMT_Y[4356350] HEIGHT[1045.02]
UMT_X[399675] UMT_Y[4356375] HEIGHT[1044.2]
UMT_X[399675] UMT_Y[4356400] HEIGHT[1041.3]
UMT_X[399675] UMT_Y[4356425] HEIGHT[1037.3]
UMT_X[399675] UMT_Y[4356450] HEIGHT[1033.4]
UMT_X[399675] UMT_Y[4356475] HEIGHT[1029.5]
UMT_X[399675] UMT_Y[4356500] HEIGHT[1024.88]
UMT_X[399675] UMT_Y[4356525] HEIGHT[1021.27]
UMT_X[399675] UMT_Y[4356550] HEIGHT[1021.53]
UMT_X[399675] UMT_Y[4356575] HEIGHT[1024.95]
UMT_X[399675] UMT_Y[4356600] HEIGHT[1028.31]
UMT_X[399675] UMT_Y[4356625] HEIGHT[1031.46]
UMT_X[399675] UMT_Y[4356650] HEIGHT[1034.66]
UMT_X[399675] UMT_Y[4356675] HEIGHT[1038.1]
UMT_X[399675] UMT_Y[4356700] HEIGHT[1041.7]
UMT_X[399675] UMT_Y[4356725] HEIGHT[1045.05]
UMT_X[399675] UMT_Y[4356750] HEIGHT[1047.83]
UMT_X[399675] UMT_Y[4356775] HEIGHT[1050.28]
UMT_X[399675] UMT_Y[4356800] HEIGHT[1052.15]
UMT_X[399675] UMT_Y[4356825] HEIGHT[1053.03]
UMT_X[399675] UMT_Y[4356850] HEIGHT[1053.13]
UMT_X[399675] UMT_Y[4356875] HEIGHT[1052.88]
UMT_X[399675] UMT_Y[4356900] HEIGHT[1051.79]
UMT_X[399675] UMT_Y[4356925] HEIGHT[1050.92]
UMT_X[399675] UMT_Y[4356950] HEIGHT[1050.07]
UMT_X[399675] UMT_Y[4356975] HEIGHT[1051.01]
UMT_X[399675] UMT_Y[4357000] HEIGHT[1053.45]
UMT_X[399675] UMT_Y[4357025] HEIGHT[1057.07]
UMT_X[399675] UMT_Y[4357050] HEIGHT[1060.49]
UMT_X[399675] UMT_Y[4357075] HEIGHT[1062.38]
UMT_X[399675] UMT_Y[4357100] HEIGHT[1064.25]
UMT_X[399675] UMT_Y[4357125] HEIGHT[1064.09]
UMT_X[399675] UMT_Y[4357150] HEIGHT[1062.87]
UMT_X[399675] UMT_Y[4357175] HEIGHT[1060.52]
UMT_X[399675] UMT_Y[4357200] HEIGHT[1057.39]
UMT_X[399675] UMT_Y[4357225] HEIGHT[1052.17]
UMT_X[399675] UMT_Y[4357250] HEIGHT[1047.8]
UMT_X[399675] UMT_Y[4357275] HEIGHT[1042.88]
UMT_X[399675] UMT_Y[4357300] HEIGHT[1039.15]
UMT_X[399675] UMT_Y[4357325] HEIGHT[1038.31]
UMT_X[399675] UMT_Y[4357350] HEIGHT[1038.09]
UMT_X[399675] UMT_Y[4357375] HEIGHT[1037.41]
UMT_X[399675] UMT_Y[4357400] HEIGHT[1036.71]
UMT_X[399675] UMT_Y[4357425] HEIGHT[1035.11]
UMT_X[399675] UMT_Y[4357450] HEIGHT[1032.69]
UMT_X[399675] UMT_Y[4357475] HEIGHT[1029.69]
UMT_X[399675] UMT_Y[4357500] HEIGHT[1026.33]
UMT_X[399675] UMT_Y[4357525] HEIGHT[1023.45]
UMT_X[399675] UMT_Y[4357550] HEIGHT[1020.37]
UMT_X[399675] UMT_Y[4357575] HEIGHT[1017.23]
UMT_X[399675] UMT_Y[4357600] HEIGHT[1015.24]
UMT_X[399675] UMT_Y[4357625] HEIGHT[1013.47]
UMT_X[399675] UMT_Y[4357650] HEIGHT[1013.55]
UMT_X[399675] UMT_Y[4357675] HEIGHT[1012.76]
UMT_X[399675] UMT_Y[4357700] HEIGHT[1012.03]
UMT_X[399675] UMT_Y[4357725] HEIGHT[1012.26]
UMT_X[399675] UMT_Y[4357750] HEIGHT[1012.26]
UMT_X[399675] UMT_Y[4357775] HEIGHT[1012.92]
UMT_X[399675] UMT_Y[4357800] HEIGHT[1012.18]
UMT_X[399675] UMT_Y[4357825] HEIGHT[1010.57]
UMT_X[399675] UMT_Y[4357850] HEIGHT[1007.72]
UMT_X[399675] UMT_Y[4357875] HEIGHT[1004.71]
UMT_X[399675] UMT_Y[4357900] HEIGHT[1000.87]
UMT_X[399675] UMT_Y[4357925] HEIGHT[996.58]
UMT_X[399675] UMT_Y[4357950] HEIGHT[993.21]
UMT_X[399675] UMT_Y[4357975] HEIGHT[999.16]
UMT_X[399675] UMT_Y[4358000] HEIGHT[1004.55]
UMT_X[399675] UMT_Y[4358025] HEIGHT[1009.45]
UMT_X[399675] UMT_Y[4358050] HEIGHT[1014.5]
UMT_X[399675] UMT_Y[4358075] HEIGHT[1019.34]
UMT_X[399675] UMT_Y[4358100] HEIGHT[1024.14]
UMT_X[399675] UMT_Y[4358125] HEIGHT[1028.75]
UMT_X[399675] UMT_Y[4358150] HEIGHT[1033.07]
UMT_X[399675] UMT_Y[4358175] HEIGHT[1036.45]
UMT_X[399675] UMT_Y[4358200] HEIGHT[1036.87]
UMT_X[399675] UMT_Y[4358225] HEIGHT[1036.09]
UMT_X[399675] UMT_Y[4358250] HEIGHT[1033.96]
UMT_X[399675] UMT_Y[4358275] HEIGHT[1031.49]
UMT_X[399675] UMT_Y[4358300] HEIGHT[1028.21]
UMT_X[399675] UMT_Y[4358325] HEIGHT[1025.64]
UMT_X[399675] UMT_Y[4358350] HEIGHT[1022.32]
UMT_X[399675] UMT_Y[4358375] HEIGHT[1018.17]
UMT_X[399675] UMT_Y[4358400] HEIGHT[1012.77]
UMT_X[399675] UMT_Y[4358425] HEIGHT[1006.81]
UMT_X[399675] UMT_Y[4358450] HEIGHT[1001.55]
UMT_X[399675] UMT_Y[4358475] HEIGHT[994.45]
UMT_X[399675] UMT_Y[4358500] HEIGHT[987.79]
UMT_X[399675] UMT_Y[4358525] HEIGHT[982.11]
UMT_X[399675] UMT_Y[4358550] HEIGHT[976.66]
UMT_X[399675] UMT_Y[4358575] HEIGHT[972.52]
UMT_X[399675] UMT_Y[4358600] HEIGHT[968.8]
UMT_X[399675] UMT_Y[4358625] HEIGHT[965.23]
UMT_X[399675] UMT_Y[4358650] HEIGHT[961.7]
UMT_X[399675] UMT_Y[4358675] HEIGHT[957.42]
UMT_X[399675] UMT_Y[4358700] HEIGHT[953.67]
UMT_X[399675] UMT_Y[4358725] HEIGHT[950.12]
UMT_X[399675] UMT_Y[4358750] HEIGHT[946.74]
UMT_X[399675] UMT_Y[4358775] HEIGHT[942.97]
UMT_X[399675] UMT_Y[4358800] HEIGHT[938.92]
UMT_X[399675] UMT_Y[4358825] HEIGHT[934.89]
UMT_X[399675] UMT_Y[4358850] HEIGHT[929.72]
UMT_X[399675] UMT_Y[4358875] HEIGHT[923.89]
UMT_X[399675] UMT_Y[4358900] HEIGHT[917.37]
UMT_X[399675] UMT_Y[4358925] HEIGHT[910.74]
UMT_X[399675] UMT_Y[4358950] HEIGHT[903.89]
UMT_X[399675] UMT_Y[4358975] HEIGHT[896.74]
UMT_X[399675] UMT_Y[4359000] HEIGHT[890.03]
UMT_X[399675] UMT_Y[4359025] HEIGHT[883.08]
UMT_X[399675] UMT_Y[4359050] HEIGHT[876.35]
UMT_X[399675] UMT_Y[4359075] HEIGHT[868.92]
UMT_X[399675] UMT_Y[4359100] HEIGHT[861.48]
UMT_X[399675] UMT_Y[4359125] HEIGHT[855.21]
UMT_X[399675] UMT_Y[4359150] HEIGHT[848.7]
UMT_X[399675] UMT_Y[4359175] HEIGHT[842.41]
UMT_X[399675] UMT_Y[4359200] HEIGHT[836.19]
UMT_X[399675] UMT_Y[4359225] HEIGHT[830.63]
UMT_X[399675] UMT_Y[4359250] HEIGHT[825.06]
UMT_X[399675] UMT_Y[4359275] HEIGHT[819.37]
UMT_X[399675] UMT_Y[4359300] HEIGHT[812.04]
UMT_X[399675] UMT_Y[4359325] HEIGHT[805.19]
UMT_X[399675] UMT_Y[4359350] HEIGHT[800.78]
UMT_X[399675] UMT_Y[4359375] HEIGHT[801.65]
UMT_X[399675] UMT_Y[4359400] HEIGHT[809.98]
UMT_X[399675] UMT_Y[4359425] HEIGHT[818.41]
UMT_X[399675] UMT_Y[4359450] HEIGHT[825.35]
UMT_X[399675] UMT_Y[4359475] HEIGHT[831.62]
UMT_X[399675] UMT_Y[4359500] HEIGHT[838.2]
UMT_X[399675] UMT_Y[4359525] HEIGHT[844.91]
UMT_X[399675] UMT_Y[4359550] HEIGHT[851.35]
UMT_X[399675] UMT_Y[4359575] HEIGHT[857.5]
UMT_X[399675] UMT_Y[4359600] HEIGHT[863.74]
UMT_X[399675] UMT_Y[4359625] HEIGHT[870.3]
UMT_X[399675] UMT_Y[4359650] HEIGHT[875.63]
UMT_X[399675] UMT_Y[4359675] HEIGHT[880.67]
UMT_X[399675] UMT_Y[4359700] HEIGHT[884.28]
UMT_X[399675] UMT_Y[4359725] HEIGHT[888]
UMT_X[399675] UMT_Y[4359750] HEIGHT[891.49]
UMT_X[399675] UMT_Y[4359775] HEIGHT[894.29]
UMT_X[399675] UMT_Y[4359800] HEIGHT[895.88]
UMT_X[399675] UMT_Y[4359825] HEIGHT[897.31]
UMT_X[399675] UMT_Y[4359850] HEIGHT[898.06]
UMT_X[399675] UMT_Y[4359875] HEIGHT[898.25]
UMT_X[399675] UMT_Y[4359900] HEIGHT[897.25]
UMT_X[399675] UMT_Y[4359925] HEIGHT[894.95]
UMT_X[399675] UMT_Y[4359950] HEIGHT[891.38]
UMT_X[399675] UMT_Y[4359975] HEIGHT[886.17]
UMT_X[399675] UMT_Y[4360000] HEIGHT[880.01]
UMT_X[399675] UMT_Y[4360025] HEIGHT[873.19]
UMT_X[399675] UMT_Y[4360050] HEIGHT[866.37]
UMT_X[399675] UMT_Y[4360075] HEIGHT[858.11]
UMT_X[399675] UMT_Y[4360100] HEIGHT[850.4]
UMT_X[399675] UMT_Y[4360125] HEIGHT[842.37]
UMT_X[399675] UMT_Y[4360150] HEIGHT[833]
